embed_dim,beta,row_penalty,col_penalty,rows_close_to_1,cols_close_to_1,row_max_abs_diff,row_mean_abs_diff,col_max_abs_diff,col_mean_abs_diff,num_correct_matches,accuracy,final_loss
100,10,10,200,True,False,4.7683716e-07,3.802531e-08,0.082230926,0.005215414,933,0.1475098814229249,-19545.052734375
100,5,10,200,True,False,2.3841858e-07,2.41941e-08,0.02885139,0.0012907377,48,0.00758893280632411,3066.101806640625
100,20,10,200,True,False,4.7683716e-07,1.0053325e-07,0.11904538,0.0042692763,56,0.008853754940711462,-35448.2265625
200,10,10,200,True,False,4.7683716e-07,3.934171e-08,0.06249678,0.0051530628,1279,0.20221343873517786,-22113.0
200,5,10,200,True,False,2.3841858e-07,2.4121968e-08,0.033576727,0.0012525334,27,0.004268774703557313,3148.081298828125
200,20,10,200,True,False,4.7683716e-07,9.8128865e-08,0.14433908,0.0033094357,109,0.017233201581027667,-34747.4140625
400,10,10,200,True,False,4.7683716e-07,4.0387615e-08,0.062172174,0.005243385,1353,0.21391304347826087,-22694.88671875
400,5,10,200,True,False,2.3841858e-07,2.4686999e-08,0.032595396,0.0012360531,36,0.005691699604743083,3284.559814453125
400,20,10,200,True,False,5.9604645e-07,9.78764e-08,0.17315042,0.0036740685,281,0.04442687747035573,-35062.109375
600,10,10,200,True,False,4.7683716e-07,4.1247183e-08,0.08420181,0.0051095085,1413,0.223399209486166,-23183.34765625
600,5,10,200,True,False,1.7881393e-07,2.4680988e-08,0.033611774,0.0012887439,33,0.0052173913043478265,3104.2822265625
600,20,10,200,True,False,5.9604645e-07,9.680044e-08,0.0837307,0.0029655294,400,0.06324110671936758,-36106.6328125
800,10,10,200,True,False,4.7683716e-07,4.1505654e-08,0.090427995,0.004933423,1417,0.22403162055335968,-23063.908203125
800,5,10,200,True,False,2.3841858e-07,2.5528532e-08,0.03372073,0.0012634741,31,0.004901185770750988,3108.72607421875
800,20,10,200,True,False,4.7683716e-07,9.634962e-08,0.40364128,0.003192777,481,0.07604743083003952,-36588.52734375
1000,10,10,200,True,False,4.7683716e-07,4.060401e-08,0.1031723,0.0049374476,1419,0.22434782608695653,-23873.25390625
1000,5,10,200,True,False,2.3841858e-07,2.3935629e-08,0.032244027,0.001226204,35,0.005533596837944664,3106.32177734375
1000,20,10,200,True,False,4.7683716e-07,9.225015e-08,0.06087625,0.0027520226,440,0.06956521739130435,-37777.18359375
